id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
213,EURA_DC DOUAI,50.376,3.094,2 Rue Ludwig van Beethoven,Douai,59,59500,Hauts-de-France,France,0.800,2024,5670.000,2835.000,operating,Eura DC
214,EXTENDO_DATACENTER,47.645,6.843,31 Rue Becquerel,Belfort,90,90000,Bourgogne-Franche-Comté,France,0.400,2019,1700.000,200.000,operating,Extendo DC
215,FIDUCIAL_CLOUD AIX_EN_PROVENCE,43.480,5.373,30 Rue Paul Langevin,Aix-en-Provence,13,13290,"Provence-Alpes-Côte d\,Azur",France,1.200,,1019.000,5095.000,operating,Fiducial (ex Kheops Organisation)
216,FIDUCIAL_CLOUD LYON,45.771,4.804,19 rue Cottin,Lyon,69,69009,Auvergne-Rhône-Alpes,France,2.459,,20890.000,10445.000,operating,Fiducial (ex Kheops Organisation)
217,FIRSTHEBERG,50.345,3.543,70 Rue Jean Jaurès,Marly,59,59770,Hauts-de-France,France,0.441,2019,375.000,1875.000,operating,Techcrea Solutions
218,FMI,45.714,4.955,4 Rue de Lombardie,Saint-Priest,69,69800,Auvergne-Rhône-Alpes,France,1.000,2013,5130.000,2565.000,operating,Groupe FMI
219,FREE_PRO LYON,45.807,4.772,1 Rue des Vergers,Limonest,69,69760,Auvergne-Rhône-Alpes,France,3.537,2011,3004.000,1502.000,operating,Free Pro
220,FREE_PRO MRS01,43.296,5.370,70 Chem. du Passet,Marseille,13,13016,"Provence-Alpes-Côte d\,Azur",France,6.596,,4456.000,2228.000,operating,Free Pro
221,FREE_PRO ROCK,45.740,4.888,60 Av. Rockefeller,Lyon,69,69008,Auvergne-Rhône-Alpes,France,4.000,2019,502.000,900.000,operating,Free Pro
222,FULLSAVE TLS00,43.621,1.421,131 chemin du Sang de Serp,Toulouse,31,31000,Occitanie,France,34.444,2014,3344.000,700.000,operating,Fullsave
223,FULLSAVE - AUC00,43.642,0.597,47 Av. Sambre et Meuse,Auch,32,32000,Occitanie,France,1.000,2023,280.000,140.000,operating,Fullsave
224,GROUPE_ASTEN BREST,48.391,-4.486,26 Rue Gaston Planté- 29850 Gouesnou,Brest,29,29200,Bretagne,France,1.091,2014,927.000,4635.000,operating,Groupe Asten
225,GROUPE_ASTEN RENNES,,,,Rennes,35,35000,Bretagne,France,0.200,2009,235.000,117.000,operating,Groupe Asten
226,HDC34 SAINT-AUNÈS,43.648,3.972,125 rue de la Sarriette,Saint-Aunès,34,34130,Occitanie,France,0.851,2017,723.000,3615.000,operating,Xefi
227,HEXANET REIMS,49.258,4.032,Les Dauphinelles- 3 Allée Albert Caquot,Reims,51,51100,Grand Est,France,0.800,2015,1342.000,671.000,operating,Hexanet
228,HEXATOM SOPHIA_ANTIPOLIS,43.615,7.074,950 route des colles,Biot,64,6410,"Provence-Alpes-Côte d\,Azur",France,2.842,2018,2414.000,1207.000,operating,"Hexatom Datacenter Services, Green Computing"
229,HOSTELYON,45.729,4.844,"81 Boulevard du Parc d\,Artillerie",Lyon,69,69007,Auvergne-Rhône-Alpes,France,0.600,1987,394.000,300.000,operating,Etix Everywhere
230,ICODIA,48.103,-1.625,"22 Rue de l\,Erbonière",Cesson-Sévigné,35,35510,Bretagne,France,1.250,2000,680.000,300.000,operating,Icodia
231,IKOULA IKDC01,49.234,4.034,34 Rue du Pont Assy,Reims,51,51100,Grand Est,France,3.000,2006,1750.000,750.000,operating,Ikoula
232,IKOULA IKDC02,49.560,3.743,495 RUE DE SISSONNE,Eppes,28,2840,Hauts-de-France,France,1.300,,800.000,450.000,operating,Ikoula
233,INFORSUD_TECHNOLOGIES ALBI,43.910,2.103,16 IMPASSE DE CRINS,Le Sequestre,81,81990,Occitanie,France,2.963,,2517.000,12585.000,operating,Inforsud
234,INFORSUD_TECHNOLOGIES RODEZ,44.470,2.721,Lieu dit Causse Comtal,Bozouls,12,12340,Occitanie,France,4.938,1985,3451.000,3393.500,operating,Inforsud
235,INFORSUD_TECHNOLOGIES TOULOUSE,43.584,1.495,2- rue Maryse Hilsz,Toulouse,31,31500,Occitanie,France,1.373,,1166.000,583.000,operating,Inforsud
236,KOESIO_DATACENTER,44.905,4.905,53 avenue des Langories,Valence,26,26000,Auvergne-Rhône-Alpes,France,4.581,,3891.000,19455.000,operating,Koesio Groupe
237,KYNDRYL FRCLFMI1,45.777,3.082,18 All. Evariste Galois- 63170 Aubière,Clermont-Ferrand,63,63100,Auvergne-Rhône-Alpes,France,3.143,,1297.000,6485.000,operating,Kyndryl
238,KYNDRYL FRCLFMI2,,,1 Rue Condorcet,Gerzat,63,63360,Auvergne-Rhône-Alpes,France,3.143,,3074.000,1537.000,operating,Kyndryl
239,KYNDRYL FRGRABEL,43.647,3.796,83 IMPASSE PIERRE MAGNOL 34790 GRABELS,Grabels,34,34790,Occitanie,France,3.143,2012,3713.000,18565.000,operating,Kyndryl
240,KYNDRYL FRMARCQ1,50.637,3.064,31 RUE WINSTON CHURCHILL 59000 LILLE,Lille,59,59700,Hauts-de-France,France,3.143,,2078.000,1039.000,operating,Kyndryl
241,KYNDRYL FRSECLIN,50.545,3.025,14 RUE DE LORIVAL 59113 SECLIN,Seclin,59,59113,Hauts-de-France,France,3.143,2010,4295.000,21475.000,operating,Kyndryl
242,Worldline Seclin,50.567,3.040,2 Rue Marcel Dassault,Seclin,59,59113,Hauts-de-France,France,2.159,,1855.000,9275.000,operating,Atos / Worldline
243,"""La pointe 1"" Atos Worldline Noyelles-les-Seclin",50.567,3.029,23 Rue de la Pointe,Noyelles-lès-Seclin,59,59139,Hauts-de-France,France,5.727,,4920.000,2460.000,operating,Atos / Worldline
244,KYNDRYL FRVENISS,45.698,4.886,81 RUE SANS SOUCI 69760 LIMONEST,Vénissieux,69,69200,Auvergne-Rhône-Alpes,France,3.143,,4268.000,2134.000,operating,Kyndryl
245,KYNDRYL MOPMAIN,43.611,3.877,650 RUE DE LA VIEILLE POSTE 34000 MONTPELLIER,Montpellier,34,34000,Occitanie,France,3.143,,200.000,100.000,operating,Kyndryl
246,KYNDRYL CLERMONT,45.777,3.082,45.807642- 3.142409 - Rue de Chantemerle- 63100 Clermont-Ferrand,Clermont-Ferrand,63,63000,Auvergne-Rhône-Alpes,France,3.143,,3618.000,1809.000,operating,Kyndryl
247,LA_CITADELLE_DATACENTER_1,45.777,3.082,46 RUE DU PORT 63000 CLERMONT-FERRAND,Clermont-Ferrand,63,63000,Auvergne-Rhône-Alpes,France,0.128,,109.000,545.000,operating,BeYs Cloud France
248,LA_CITADELLE_DATACENTER_2,45.777,3.082,46 RUE DU RESSORT 63100 CLERMONT-FERRAND,Clermont-Ferrand,63,63000,Auvergne-Rhône-Alpes,France,2.866,2014,2434.000,1217.000,operating,BeYs Cloud France
249,LINKT,47.484,-0.507,48 Bd de la Romanerie,"Saint-Barthélemy-d\,Anjou",49,49124,Pays de la Loire,France,1.273,,1081.000,5405.000,operating,Linkt SAS
250,MAXNOD,46.069,4.916,1411 Rte de Sandrans,Saint-Trivier-sur-Moignans,19,1990,Auvergne-Rhône-Alpes,France,1.445,2009,1227.000,6135.000,operating,Adeli – SAS
251,MSI,50.651,3.107,15 rue Jules Lammens,Mons-en-Baroeul,59,59370,Hauts-de-France,France,0.562,2011,477.000,2385.000,operating,Micro et services informatiques SAS
252,NDC NORMANDIE,49.272,1.213,Voie Marmaille- 9001 LA CHAUSSEE 27100 VAL-DE-REUIL,Val-de-Reuil,27,27100,Normandie,France,3.975,,3376.000,1688.000,operating,Nation Data Center
253,NDC Roazhon,48.114,-1.523,7 Rue Alain Fournier- 35530 Noyal-sur-Vilaine,Noyal-sur-Vilaine,35,35530,Bretagne,France,3.000,2025,2000.000,1000.000,operating,Nation Data Center
254,NETIWAN,43.801,4.425,13/15 Rue Etienne Velay- 30230 Bouillargues,Bouillargues,30,30230,Occitanie,France,1.121,2018,37.000,476.000,operating,Netiwan
255,NEXEREN CIVRIEUX_1,45.921,4.883,220 RUE LEONARD DE VINCI 01390 CIVRIEUX,Civrieux,13,1390,Auvergne-Rhône-Alpes,France,2.000,2013,900.000,450.000,operating,Nexeren
256,NEXEREN CIVRIEUX_2,45.921,4.883,40 RUE LEONARD DE VINCI 01390 CIVRIEUX,Civrieux,13,1390,Auvergne-Rhône-Alpes,France,0.742,2013,630.000,315.000,operating,Nexeren
257,XEFI / NEXEREN CLERMONT-FERRAND,45.784,3.131,35 Rue Jules Verne,Clermont-Ferrand,63,63000,Auvergne-Rhône-Alpes,France,1.221,,1037.000,5185.000,operating,Xefi
258,NEXEREN ECOCENTER,45.830,3.115,95 Rue Pierre Gilles de Gennes,Cébazat,63,63118,Auvergne-Rhône-Alpes,France,0.801,2014,680.000,340.000,operating,Nexeren
259,XEFI / NEXEREN VIENNE,45.496,4.835,242 Rte du Barrage,Reventin-Vaugris,38,38121,Auvergne-Rhône-Alpes,France,1.820,2022,1546.000,773.000,operating,Xefi
260,NFRANCE,43.613,1.430,9 rue Ritay,Toulouse,31,31000,Occitanie,France,4.376,2023,3717.000,18585.000,operating,NFrance
261,O2SWITCH,45.777,3.082,Chem. des Pardiaux,Clermont-Ferrand,63,63000,Auvergne-Rhône-Alpes,France,0.232,,200.000,100.000,operating,O2Switch
262,ONE_SYSTEM,45.824,4.953,ZAE FOLLIOUSES- 29 Rue de Folliouse,Miribel,17,1700,Auvergne-Rhône-Alpes,France,0.690,2015,586.000,293.000,operating,ONE SYSTEM
263,ORANGE_BUSINESS_SERVICES CHARTRES,48.442,1.393,5 rue du Commandant Charcot,Amilly,28,28300,Centre-Val de Loire,France,28.492,2022,17808.000,5000.000,operating,Orange Business Services
264,ORANGE_BUSINESS_SERVICES NORMANDIE_1,49.261,1.187,"7 Voie de l\,Orée",Val de Reuil,27,27100,Normandie,France,24.219,2012,16362.000,8181.000,operating,Orange
265,ORANGE_BUSINESS_SERVICES NORMANDIE_2,49.261,1.187,"7 Voie de l\,Orée",Val-de-Reuil,27,27100,Normandie,France,23.683,2022,16000.000,5000.000,operating,Orange
266,Centre Noé EDF,49.261,1.187,"2 voie de l \,orée",Val-de-Reuil,27,27100,Normandie,France,20.000,,8400.000,4200.000,operating,EDF
267,OVHCloud GRA-1,51.016,2.158,Rte de la Frm Masson,Gravelines,59,59820,Hauts-de-France,France,7.500,2012,5538.000,5538.000,operating,OVHCloud
268,OVHCloud GRA-2,51.016,2.158,Rte de la Frm Masson,Gravelines,59,59820,Hauts-de-France,France,7.500,2012,5538.000,2769.000,operating,OVHCloud
269,OVHCloud GRA-3,51.016,2.158,Rte de la Frm Masson,Gravelines,59,59820,Hauts-de-France,France,7.500,2012,5538.000,2769.000,operating,OVHCloud
270,OVHCloud GRA-4,51.016,2.158,Rte de la Frm Masson,Gravelines,59,59820,Hauts-de-France,France,7.500,2012,5538.000,2769.000,operating,OVHCloud
271,OVHCloud RBX-2,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,2011,4681.000,2340.000,operating,OVHCloud
272,OVHCloud RBX-3,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,2010,4681.000,2340.000,operating,OVHCloud
273,OVHCloud RBX-4,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,2011,4681.000,2340.000,operating,OVHCloud
274,OVHCloud RBX-5,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,2022,4681.000,2340.000,operating,OVHCloud
275,OVHCloud RBX-6,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,,4681.000,2340.000,operating,OVHCloud
276,OVHCloud RBX-7,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,,7669.000,2340.000,operating,OVHCloud
277,OVHCloud RBX-8,50.692,3.200,2 Rue Kellermann,Roubaix,59,59100,Hauts-de-France,France,5.000,2022,4681.000,2340.000,operating,OVHCloud
278,OVHCloud RBX-9,50.692,3.174,2 Rue Kellerman,Roubaix,59,59100,Hauts-de-France,France,5.000,,4681.000,2340.000,operating,OVHCloud
279,OVHCloud SBG-1,48.585,7.751,"9 Rue du Bass. de l\,Industrie",Strasbourg,67,67000,Grand Est,France,4.000,2012,2273.000,11365.000,operating,OVHCloud
280,OVHCloud SBG-2,48.585,7.751,"9 Rue du Bass. de l\,Industrie",Strasbourg,67,67000,Grand Est,France,4.000,2012,2273.000,11365.000,operating,OVHCloud
281,OVHCloud SBG-3,48.585,7.751,"10 Rue du Bass. de l\,Industrie",Strasbourg,,67000,Grand Est,France,4.000,2012,1700.000,850.000,operating,OVHCloud
282,OVHCloud SBG-4,48.585,7.751,"11 Rue du Bass. de l\,Industrie",Strasbourg,,67000,Grand Est,France,4.000,2012,1700.000,850.000,operating,OVHCloud
283,OVHCloud SBG-5,48.585,7.751,"12 Rue du Bass. de l\,Industrie",Strasbourg,,67000,Grand Est,France,4.000,2022,1700.000,850.000,operating,OVHCloud
284,PHOCEA_DC,43.296,5.370,3e Arrondissement,Marseille,13,13003,"Provence-Alpes-Côte d\,Azur",France,1.200,2025,1700.000,850.000,operating,SAS PHOCEA DC
285,PROSOLUCE,43.104,0.785,Rue du Chêne Besson,Estancarbon,31,31800,Occitanie,France,0.883,2023,750.000,375.000,operating,PROSOLUCE
286,RUBIX_DATACENTER,46.794,4.436,"Boulevard de l\,industrie",LE CREUSOT,71,71200,Bourgogne-Franche-Comté,France,0.942,2023,800.000,400.000,operating,SARL RUBIX DATACENTER
287,Sartera,,,108 Rue Molière,Le mans,72,72000,Pays de la Loire,France,1.227,2024,850.000,425.000,operating,Sartel
288,SICLOUD,43.712,3.833,525 Avenue de Saint-Sauveur,Saint-Clément-de-Rivière,34,34980,Occitanie,France,0.200,2022,1289.000,6445.000,operating,si-cloud
289,SIGMA CARQUEFOU,47.277,-1.470,14 Rue Véga,Carquefou,44,44470,Pays de la Loire,France,0.000,,0.000,0.000,operating,Sigma
290,SIGMA LA_CHAPELLE-SUR-ERDRE,47.262,-1.549,8 Rue Newton,La Chapelle-sur-Erdre,44,44240,Pays de la Loire,France,6.277,2014,4241.000,21205.000,operating,Sigma
291,SITEC AIACCIU,41.926,8.738,Zone Industrielle du Vazzio,Ajaccio,20,20090,Corse,France,0.887,,753.000,3765.000,operating,Sitec
292,SITEC BASTIA,42.658,9.415,Parc Technologique Erbajolo,Furiani,20,20601,Corse,France,0.809,,687.000,3435.000,operating,Sitec
293,SOMME_NUMÉRIQUE,49.871,2.281,43 Avenue d’Italie,Amiens,80,80000,Hauts-de-France,France,0.217,,150.000,75.000,operating,Syndicat mixte Somme Numérique
294,SYNAAPS VILLEURBANNE,45.785,4.888,49 Avenue Albert Einstein,Villeurbanne,69,69100,Auvergne-Rhône-Alpes,France,2.717,2010,1619.000,1154.000,operating,SYNAPS SYSTEM
295,TAS_GROUP,43.627,7.052,15 traverse des Brucs,Valbonne,65,6560,"Provence-Alpes-Côte d\,Azur",France,1.739,,1477.000,7385.000,operating,TAS FRANCE
296,TDF AIX-MARSEILLE,43.504,5.333,"6505 Route de la Tour d\,Arbois",Aix-en-Provence,13,13290,"Provence-Alpes-Côte d\,Azur",France,4.118,2014,2700.000,1350.000,operating,TDF
297,TDF BORDEAUX-BOULIAC,44.818,-0.506,Avenue du Domaine de Vialle,Bouliac,33,33270,Nouvelle-Aquitaine,France,2.834,2013,2407.000,12035.000,operating,TDF
298,TDF LILLE,50.649,3.040,35 Rue Gambetta,Lambersart,59,59130,Hauts-de-France,France,1.500,2014,598.000,299.000,operating,TDF
299,TDF RENNES,48.125,-1.628,2 Rue du Clos Courtel,Rennes,35,35700,Bretagne,France,1.749,2014,1486.000,743.000,operating,TDF
300,TELEHOUSE THM1 / proxicenter,43.361,5.339,71 Avenue André Roussin,Marseille,13,13016,"Provence-Alpes-Côte d\,Azur",France,12.000,2021,4456.000,2228.000,operating,Telehouse Europe
301,TELFAX,45.851,3.169,2- rue Blaise Pascal,Saint-Beauzire,63,63360,Auvergne-Rhône-Alpes,France,0.549,2019,466.000,233.000,operating,PROXDATA By TELFAX Communications
302,TITAN_DATACENTER DC1,43.601,6.996,1210 Chem. de la Plaine,Mougins,62,6250,"Provence-Alpes-Côte d\,Azur",France,6.090,2021,8400.000,4200.000,operating,Titan Datacenter
303,SFR Bunisess Team / ULTRAEDGE BORDEAUX_PERY_NETCENTER,44.841,-0.580,Technolac- 1 Rue Docteur Gabriel Perri 10 Av. des 3 Cardinaux- 33300 Bordeaux,Bordeaux,33,33000,Nouvelle-Aquitaine,France,6.000,2001,3871.000,19355.000,operating,UltraEdge
304,SFR / ULTRAEDGE LILLE_NETCENTER,50.637,3.064,Port de Lille   - 1ère Avenue - Bat B,Lille,59,59000,Hauts-de-France,France,0.500,,1000.000,500.000,operating,UltraEdge
305,ULTRAEDGE RENNES_NETCENTER,48.120,-1.604,7-9 ALLEE DE BRAY - lieu-dit LA BARAQUE,CESSON SEVIGNE,35,35510,Bretagne,France,6.000,,2584.000,1292.000,operating,UltraEdge
306,SFR / ULTRAEDGE STRASBOURG_NETCENTER,48.569,7.782,1 rue du Havre,Strasbourg,67,67000,Grand Est,France,18.000,,1000.000,500.000,operating,UltraEdge
307,ULTRAEDGE VENISSIEUX_NETCENTER,45.723,4.861,6 RUE GEORGES MARRANE,VENISSIEUX,69,69200,Auvergne-Rhône-Alpes,France,6.700,2000,5123.000,3487.500,operating,UltraEdge
308,UNIMEDIA,47.482,-0.605,14 Bd de Lavoisier,Angers,49,49000,Pays de la Loire,France,1.753,,1489.000,7445.000,operating,Unimédia Services
309,VIRTUA_NETWORKS,47.805,3.579,24 rue des Champoulains,Auxerre,89,89000,Bourgogne-Franche-Comté,France,1.413,2015,1200.000,900.000,operating,Virtua Networks
310,Orange DC OU NRO ?,49.258,4.032,101 Rue de Louvois- 51100 Reims,Reims,51,51100,Grand Est,France,1.947,,1673.000,8365.000,operating,Orange
311,Airbus - Toulouse,43.604,1.444,43.59340- 1.37101 - 2 CH LOUIS JOUVET 31000 TOULOUSE,Toulouse,31,31500,Occitanie,France,0.000,,1892.000,946.000,operating,Airbus
312,Airbus - Valbonne,43.604,1.444,1201 Rte des Crêtes- 06560 Valbonne- France,Toulouse,31,31500,Occitanie,France,11.777,2017,10117.000,5058.500,operating,Airbus
313,Allianz – Plaisir (à confirmer : détruit et terrain racheté par SEGRO),48.796,1.952,Avenue de Dreux,Plaisir,78,78370,Ile-de-France,France,5.430,,4416.000,2208.000,operating,TO BE IDENTIFIED
314,Oxya (Hitachi) Loos,50.609,3.016,3 Rue de Londres- 59120 Loos- France,Loos,59,59120,Hauts-de-France,France,3.000,2013,2968.000,900.000,operating,"oxYa, a Hiatchi Group Company"
315,Eskemm Data,48.115,-1.639,,Rennes,35,35000,Bretagne,France,0.233,,200.000,100.000,operating,Eskemm Numérique
316,DC Université de Strasbourg,48.585,7.751,"Campus de l\,Esplanade",Strasbourg,67,67000,Grand Est,France,1.200,2019,450.000,400.000,operating,Université de Strasbourg
317,Oméga 1,-20.935,55.292,4 Imp. des Piments- Le Port 97420- Réunion,Le port,974,97420,La réunion,France,1.000,,1091.000,5455.000,operating,Omega Data Centers
318,IGN datacenter,48.846,2.425,73 Av. de Paris,Saint-Mandé,94,94160,Ile-de-France,France,0.060,2016,250.000,144.000,operating,IGN
319,ArteOne,45.158,1.533,3-5 Rue des Frères Goncourt- 19100 Brive-la-Gaillarde,Brive-la-Gaillarde,19,19100,Ile-de-France,France,0.203,2012,140.000,70.000,operating,Artefact
320,XL360 Toulon,43.126,5.930,244 Bd Commandant Nicolas- 83000 Toulon,Toulon,83,83000,"Provence-Alpes-Côte d\,Azur",France,0.706,2022,600.000,300.000,operating,XL Datacenter
321,Datacube,43.708,-1.052,1 Av. de la Gare- 40100 Dax,Dax,40,40100,Nouvelle-Aquitaine,France,0.056,2015,65.000,32.000,operating,Communauté d’Agglomération du Grand DAX
322,Atlantis 3 - Sea-west - Soullans,46.797,-1.899,7 Rue des Acacias- 85300 Soullans,Soullans,85,85300,Pays de la Loire,France,1.342,,1140.000,570.000,operating,Sea-West
323,Proginov La Chevrolière,47.089,-1.555,36 Rue de la Guillauderie,La Chevrolière,44,44118,Pays de la Loire,France,0.824,2024,700.000,350.000,operating,Proginov
324,Ascendas Reit,48.731,2.173,Carrefour du Christ de Saclay- Route de Bièvres and Route Nationale 306,Saclay,91,91400,Ile-de-France,France,2.700,,3178.000,1589.000,operating,Ascendas Reit
325,Verizon CDG1,48.911,2.363,14 Rue de la Montjoie,Saint-Denis,93,93210,Ile-de-France,France,19.971,2001,4176.000,2088.000,operating,Verizon
326,Neo Telecoms Metz,49.149,6.171,3 avenue des Deux Fontaines,Woippy,57,57140,Grand Est,France,0.600,2008,200.000,100.000,operating,databank / neo telecom / etix everywhere
327,Neo Telecoms Nancy,48.710,6.169,13 rue Jean Jaures,Maxeville,54,54320,Grand Est,France,0.300,2008,200.000,100.000,operating,databank / neo telecom / etix everywhere
328,TAS France,43.620,7.052,1300 route des Cretes- World Trade Center 1-B7,Sophia-Antipolis,6,6560,"Provence-Alpes-Côte d\,Azur",France,2.000,2017,720.000,360.000,operating,TAS France
329,Orange/France Telecom RueChappe,48.590,7.736,1 Rue Claude Chappe,Strasbourg,67,67000,Grand Est,France,0.584,2009,1430.000,715.000,operating,Orange Business Services
330,SFR Netcenter Reze (Nantes),47.197,-1.561,24 rue Felix Eboue,Reze,44,44400,Ile-de-France,France,6.000,,840.000,420.000,operating,SFR
331,NavLink France Data Center,43.604,7.077,51 rue Henri Laugier,Antibes,6,6600,"Provence-Alpes-Côte d\,Azur",France,0.135,2002,2000.000,1000.000,operating,NAVLink
332,Groupama Mordelles,48.073,-1.849,Parc des Perrières- 2 Rte de Chavagne- 35310 Mordelles,Mordelles,35,35310,Bretagne,France,3.623,,3112.000,1556.000,operating,Groupama
333,SM5 / SM6 / SM7 Crédit Mutuel / Euro-information Verlinghem,50.681,3.016,2 chemin du bleu bourdeau,Verlinghem,59,59237,Hauts-de-France,France,11.641,,10000.000,5000.000,operating,Euro-information
334,SM4 Crédit Mutuel / Euro-information Verlinghem,50.682,2.998,36 Rue de Messines- 59237 Verlinghem,Verlinghem,59,59237,Hauts-de-France,France,1.778,,1527.000,7635.000,operating,Euro-information
335,Socrate SNCF Réseaux Lille,50.637,3.064,Pont de Tournai,Lille,59,59800,Hauts-de-France,France,3.455,,2968.000,1484.000,operating,SNCF
336,Orange/France Telecom Blanqui,50.627,3.078,Rue Blanqui,Lille,59,59800,Hauts-de-France,France,2.270,,1950.000,975.000,operating,Orange
337,CERN Préssevin-Moens,46.256,6.055,870 Rte Dirac,Prévessin-Moëns,1,1630,Auvergne-Rhône-Alpes,France,12.000,2025,6000.000,3000.000,operating,CERN
338,Heliantis,43.320,-0.309,20 rue Johannes Kepler,Pau,64,64000,Nouvelle-Aquitaine,France,1.500,,236.000,118.000,operating,Heliantis
339,Silca,48.451,1.449,"63 Rue du Château d\,Eau",Mainvilliers,28,28300,Centre-Val De Loire,France,7.980,2011,13443.000,5600.000,operating,Credit Agricole
340,Vulcain BRED / Banque populaire,48.086,-1.626,19 rue des loges,Chantepie,35,35135,Bretagne,France,1.959,,1683.000,8415.000,operating,BRED / Banque populaire
341,LCP-FR-DC1 (PROJET),48.614,2.482,224 Boulevard John Kenedy- 91100 Corbeil-Essonnes,CORBEIL-ESSONNES,91,91100,Ile-de-France,France,125.000,,0.000,,project,LCP-FR
342,Amazon Web Services (PROJET),48.610,2.308,"Avenue du Centres d\,Essais en Vol- 91220 Brétigny-sur-Orge",BRETIGNY-SUR-ORGE,91,91220,Ile-de-France,France,188.047,,0.000,,project,Amazon Web Services
343,CLOUD HQ France - CDG 1,48.596,2.424,parc d’activités Léonard de Vinci Lisses,LISSES,91,91090,Ile-de-France,France,120.000,2025,10000.000,5000.000,operating,Cloud HQ FRANCE
344,CLOUD HQ France (PROJET) - CDG 2,48.596,2.424,parc d’activités Léonard de Vinci Lisses,LISSES,91,91090,Ile-de-France,France,120.000,2031,0.000,,project,Cloud HQ FRANCE
345,Equinix PA15 (extension de PA13 en projet),48.813,2.239,9 Avenue du Maréchal Juin- 92360 Meudon,MEUDON,92,92190,Ile-de-France,France,20.000,,,,project,"Equinix, Inc"
346,Telehouse 2.2 (KDDI DC leon Frot),48.860,2.378,65 RUE LEON FROT 75011 PARIS,PARIS 11ÈME,75,75011,Ile-de-France,France,5.000,2021,4653.000,2495.000,project,Telehouse Europe (KDDI)
347,Interxion PAR10,48.927,2.390,2-20 Rue Marcel Cachin- 93120 La Courneuve,LA COURNEUVE,93,93120,Ile-de-France,France,19.200,2021,8878.000,5775.000,project,Interxion (a Digital Realty Company)
348,Interxion PAR11,48.927,2.390,2-20 Rue Marcel Cachin- 93120 La Courneuve,LA COURNEUVE,93,93120,Ile-de-France,France,19.200,2021,8878.000,4439.000,project,Interxion (a Digital Realty Company)
349,Equinix (PROJET),48.948,2.248,1-3 rue Charles Michel/Rue de Montigny- 95100 Argenteuil,ARGENTEUIL,95,95100,Ile-de-France,France,80.000,,6936.000,3468.000,project,"Equinix, Inc"
350,Digital Realty Les Ulis (PROJET) (DC2),48.682,2.170,"Site l\,Orme à Moineaux- ZA de Courtaboeuf",LES ULIS,91,91940,Ile-de-France,France,0.000,,0.000,0.000,project,Digital Reality
351,LCP-FR-DC2 (PROJET),48.614,2.482,224 Boulevard John Kenedy- 91100 Corbeil-Essonnes,CORBEIL-ESSONNES,91,91100,Ile-de-France,France,0.000,,0.000,0.000,project,LCP-FR
352,LCP-FR-DC3 (PROJET),48.614,2.482,224 Boulevard John Kenedy- 91100 Corbeil-Essonnes,CORBEIL-ESSONNES,91,91100,Ile-de-France,France,0.000,,0.000,0.000,project,LCP-FR
353,DATA4 DC22 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
354,DATA4 DC21 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
355,DATA4 DC13 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
356,DATA4 DC14 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
357,DATA4 DC20 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
358,DATA4 DC19 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
359,DATA4 DC18 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
360,DATA4 DC17 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
361,DATA4 DC16 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
362,DATA4 DC15 (PROJET),48.643,2.231,Route de Nozay- 91460 Marcoussis,MARCOUSSIS,91,91460,Ile-de-France,France,4.800,2029,7200.000,3600.000,project,DATA4 Group
