id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
115,Equinix / IBX PA7,48.895,2.256,9 Energy Park - 130-136 boulevard de Verdun 92413 Courbevoie,COURBEVOIE,92,92400,Ile-de-France,France,7.532,2000,3938.000,1969.000,operating,"Equinix, Inc"
116,TelCo Center,48.895,2.256,37- rue du Moulin des Bruyères 92400 Courbevoie,COURBEVOIE,92,92400,Ile-de-France,France,4.500,2010,7650.000,3825.000,operating,Alphalink (télécommunication)
117,Interxion PAR2,48.915,2.382,20-22- rue des Gardinoux 93534 Aubervilliers Cedex,AUBERVILLIERS,93,93300,Ile-de-France,France,12.000,2000,5878.000,2939.000,operating,Interxion (a Digital Realty Company)
118,Cogent Data Center-Paris1,48.781,2.190,16 Rue Grande Dame Rose,Velizy-Villacoublay,92,78140,Ile-de-France,France,0.400,2003,1200.000,600.000,operating,"Cogent Communications, Inc."
119,Cogent Data Center-Paris2,48.907,2.245,78 boulevard de la République,LA GARENNE-COLOMBES,93,92250,Ile-de-France,France,0.250,2003,1.000,600.000,operating,"Cogent Communications, Inc."
120,ex-Activium ID,48.911,2.289,4 Avenue Laurent Cély- 92600 Asnières-sur-Seine,ASNIERES,92,92600,Ile-de-France,France,,,,,operating,ex-Activium ID / Ex ResaCloud
121,Data Center EDF,48.920,2.342,Place aux Grumes- 93200 Saint-Denis,SAINT-DENIS,93,93200,Ile-de-France,France,9.708,1999,6695.000,3347.500,operating,EDF
122,DC VESI (ex DELL),48.938,2.363,8 Avenue du Stade de France- 93200 Saint-Denis,SAINT-DENIS,93,93200,Ile-de-France,France,0.000,2011,0.000,0.000,operating,VINCI Energies Systèmes dInformation (VESI)
123,Comarch Data Center Santé,49.053,2.039,8 Place du Ponceau- 95001 Cergy-Pontoise CEDEX,CERGY,95,95000,Ile-de-France,France,2.258,,1918.000,959.000,operating,COMARCH (Healthcare)
124,Alionis DC1,48.700,2.228,14- avenue du Quebec 91140 Villebon sur Yvette ZA Courtaboeuf,VILLEBON-SUR-YVETTE,91,91140,Ile-de-France,France,6.000,2005,2000.000,1000.000,operating,Alionis
